periodo;indice;valor
201101;metro_linea_a;9939136
201101;metro_linea_b;1706614
201101;metro_linea_k;529086
201101;metro_linea_j;227784
201101;metro_linea_l;109644
201101;metro_linea_1_buses;0
201201;metro_linea_a;10856228
201201;metro_linea_b;1845668
201201;metro_linea_k;565919
201201;metro_linea_j;258750
201201;metro_linea_l;132501
201201;metro_linea_1_buses;583708
201301;metro_linea_a;11089068
201301;metro_linea_b;1868187
201301;metro_linea_k;559307
201301;metro_linea_j;282826
201301;metro_linea_l;111860
201301;metro_linea_1_buses;922144
201301;metro_linea_2_buses;0
201301;metro_cuenca_3;0
201301;metro_cuenca_6;0
201401;metro_linea_a;11004939
201401;metro_linea_b;1933935
201401;metro_linea_k;587108
201401;metro_linea_j;345444
201401;metro_linea_l;95939
201401;metro_linea_1_buses;1522406
201401;metro_linea_2_buses;297319
201401;metro_cuenca_3;316701
201401;metro_cuenca_6;351219
201501;metro_linea_a;12680744
201501;metro_linea_b;2099776
201501;metro_linea_k;612375
201501;metro_linea_j;364924
201501;metro_linea_l;118857
201501;metro_linea_1_buses;1594309
201501;metro_linea_2_buses;309668
201501;metro_cuenca_3;419735
201501;metro_cuenca_6;797228
201601;metro_linea_a;13219958
201601;metro_linea_b;2175365
201601;metro_linea_k;622499
201601;metro_linea_j;373947
201601;metro_linea_l;134233
201601;metro_linea_1_buses;1611116
201601;metro_linea_2_buses;292859
201601;metro_cuenca_3;454014
201601;metro_cuenca_6;873973
201601;metro_cuenca_7_integrados;47442
201601;metro_cuenca_5_integrados;0
201601;metro_tranvia;0
201601;metro_linea_h;0
201701;metro_linea_a;13569290
201701;metro_linea_b;2318271
201701;metro_linea_k;650615
201701;metro_linea_j;404560
201701;metro_linea_l;136987
201701;metro_linea_1_buses;1790749
201701;metro_linea_2_buses;307244
201701;metro_cuenca_3;514763
201701;metro_cuenca_6;928880
201701;metro_cuenca_7_integrados;346994
201701;metro_cuenca_5_integrados;322651
201701;metro_tranvia;494617
201701;metro_linea_h;46440
201102;metro_linea_a;10412839
201102;metro_linea_b;1819092
201102;metro_linea_k;487609
201102;metro_linea_j;220832
201102;metro_linea_l;64910
201102;metro_linea_1_buses;0
201202;metro_linea_a;11036302
201202;metro_linea_b;1965248
201202;metro_linea_k;516502
201202;metro_linea_j;263135
201202;metro_linea_l;63052
201202;metro_linea_1_buses;693971
201302;metro_linea_a;11293626
201302;metro_linea_b;1941982
201302;metro_linea_k;498808
201302;metro_linea_j;278007
201302;metro_linea_l;42954
201302;metro_linea_1_buses;1038173
201302;metro_linea_2_buses;0
201302;metro_cuenca_3;0
201302;metro_cuenca_6;0
201402;metro_linea_a;12101453
201402;metro_linea_b;2118215
201402;metro_linea_k;538230
201402;metro_linea_j;341398
201402;metro_linea_l;50337
201402;metro_linea_1_buses;1697048
201402;metro_linea_2_buses;333310
201402;metro_cuenca_3;432021
201402;metro_cuenca_6;603484
201502;metro_linea_a;13274427
201502;metro_linea_b;2270327
201502;metro_linea_k;560164
201502;metro_linea_j;357187
201502;metro_linea_l;50941
201502;metro_linea_1_buses;1789746
201502;metro_linea_2_buses;338705
201502;metro_cuenca_3;459497
201502;metro_cuenca_6;859296
201602;metro_linea_a;14322955
201602;metro_linea_b;2471380
201602;metro_linea_k;589059
201602;metro_linea_j;391716
201602;metro_linea_l;63534
201602;metro_linea_1_buses;1921758
201602;metro_linea_2_buses;334647
201602;metro_cuenca_3;537662
201602;metro_cuenca_6;1010469
201602;metro_cuenca_7_integrados;361938
201602;metro_cuenca_5_integrados;0
201602;metro_tranvia;0
201602;metro_linea_h;0
201702;metro_linea_a;14024137
201702;metro_linea_b;2471705
201702;metro_linea_k;596335
201702;metro_linea_j;395913
201702;metro_linea_l;69299
201702;metro_linea_1_buses;1986739
201702;metro_linea_2_buses;330672
201702;metro_cuenca_3;556025
201702;metro_cuenca_6;971089
201702;metro_cuenca_7_integrados;374338
201702;metro_cuenca_5_integrados;392490
201702;metro_tranvia;512615
201702;metro_linea_h;48114
201103;metro_linea_a;11617733
201103;metro_linea_b;2025996
201103;metro_linea_k;455580
201103;metro_linea_j;241408
201103;metro_linea_l;57662
201103;metro_linea_1_buses;0
201203;metro_linea_a;11644122
201203;metro_linea_b;2074265
201203;metro_linea_k;545087
201203;metro_linea_j;262493
201203;metro_linea_l;64395
201203;metro_linea_1_buses;769733
201303;metro_linea_a;11365510
